NIVEL_1,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT,UNIVERSO,CONTRIBUICAO_VARIACAO_TOTAL_PCT,CONTRIBUICAO_QUEDA_BRUTA_PCT
D - ELETROS,149976.000000,44609.000000,145077510.402583,52493038.807856,43615,17078,-92584471.594727,-63.817246,-105367.000000,-70.255908,-26537,-60.843746,REDE_COMPLETA,51.664820,51.664820
C - PISOS E REVESTIMENTOS,551213.840000,227875.770000,37030589.759499,17613071.706475,29409,14512,-19417518.053024,-52.436427,-323338.070000,-58.659280,-14897,-50.654562,REDE_COMPLETA,10.835538,10.835538
O - MOVEIS,50260.000000,20484.000000,17137452.839933,5585439.761000,28480,13272,-11552013.078933,-67.407993,-29776.000000,-59.243932,-15208,-53.398876,REDE_COMPLETA,6.446358,6.446358
"K - CAMA, MESA E BANHO",340644.000000,99585.000000,17333694.042854,5878588.134733,130334,54793,-11455105.908121,-66.085774,-241059.000000,-70.765667,-75541,-57.959550,REDE_COMPLETA,6.392281,6.392281
B - UTILIDADES DOMESTICAS,538868.000000,183002.000000,15560898.198090,6952915.785610,169679,69366,-8607982.412480,-55.318031,-355866.000000,-66.039550,-100313,-59.119278,REDE_COMPLETA,4.803504,4.803504
U - METAIS E ACESSORIOS,194971.000000,80047.000000,13972894.058080,6388502.660761,60623,31493,-7584391.397319,-54.279317,-114924.000000,-58.944151,-29130,-48.051070,REDE_COMPLETA,4.232310,4.232310
I - ILUMINACAO,339248.000000,217127.000000,16279121.444245,9044297.396150,74243,47225,-7234824.048095,-44.442350,-122121.000000,-35.997559,-27018,-36.391310,REDE_COMPLETA,4.037242,4.037242
S - TINTAS E QUIMICOS,126417.000000,90005.000000,11418451.550886,7480979.697082,30042,13258,-3937471.853804,-34.483413,-36412.000000,-28.803088,-16784,-55.868451,REDE_COMPLETA,2.197223,2.197223
V - DECORACAO,77783.000000,26158.000000,5519973.379841,2387265.300000,32045,13312,-3132708.079841,-56.752232,-51625.000000,-66.370544,-18733,-58.458418,REDE_COMPLETA,1.748142,1.748142
R - ELETRONICOS,10768.000000,9053.000000,25214890.975276,22653887.336909,3531,4343,-2561003.638367,-10.156711,-1715.000000,-15.926820,812,22.996318,REDE_COMPLETA,1.429114,1.429114
W - LOUCAS E PIAS,9779.000000,3315.000000,3611369.156500,1121774.304000,6984,2581,-2489594.852500,-68.937700,-6464.000000,-66.100828,-4403,-63.044101,REDE_COMPLETA,1.389266,1.389266
M - MAQUINAS E MOTORES,2194.000000,437.000000,2917242.342000,706656.667500,1855,408,-2210585.674500,-75.776552,-1757.000000,-80.082042,-1447,-78.005391,REDE_COMPLETA,1.233571,1.233571
"G - PORTAS, JANELAS E FECHADURAS",24815.000000,7162.000000,3681818.620500,1561106.016750,10042,3438,-2120712.603750,-57.599595,-17653.000000,-71.138424,-6604,-65.763792,REDE_COMPLETA,1.183419,1.183419
F - FERRAMENTAS,10666.000000,4654.000000,4124379.265750,2982633.769500,6429,3150,-1141745.496250,-27.682844,-6012.000000,-56.366023,-3279,-51.003266,REDE_COMPLETA,0.637127,0.637127
E - MATERIAIS ELETRICOS,547022.000000,507597.000000,6190250.553250,5142147.769712,70373,53509,-1048102.783539,-16.931508,-39425.000000,-7.207206,-16864,-23.963736,REDE_COMPLETA,0.584872,0.584872
N - INDUSTRIAL E NEGOCIOS,12252.000000,3860.000000,3198623.176000,2323894.678000,5924,2501,-874728.498000,-27.347032,-8392.000000,-68.494940,-3423,-57.781904,REDE_COMPLETA,0.488124,0.488124
A - AUTOMOTIVO,13536.000000,10114.000000,862541.537000,474869.495250,4614,3485,-387672.041750,-44.945319,-3422.000000,-25.280733,-1129,-24.469007,REDE_COMPLETA,0.216332,0.216332
"L - INFANTIL, LAZER E PETS",8951.000000,2756.000000,584430.283500,243559.011500,5685,1967,-340871.272000,-58.325395,-6195.000000,-69.210144,-3718,-65.400176,REDE_COMPLETA,0.190216,0.190216
H - TUBOS E CONEXOES,12570.000000,6858.000000,342201.646500,157730.485500,4947,3034,-184471.161000,-53.907152,-5712.000000,-45.441527,-1913,-38.669901,REDE_COMPLETA,0.102940,0.102940
T - ARTIGOS DE EPOCA,8576.000000,3520.000000,193386.893517,27648.222500,1218,576,-165738.671017,-85.703156,-5056.000000,-58.955224,-642,-52.709360,REDE_COMPLETA,0.092487,0.092487
J - JARDINAGEM,3935.000000,837.000000,155045.513000,44251.200000,2487,556,-110794.313000,-71.459219,-3098.000000,-78.729352,-1931,-77.643747,REDE_COMPLETA,0.061826,0.061826
Y - EPI,4270.000000,1383.000000,62952.487500,23311.211000,1304,513,-39641.276500,-62.970151,-2887.000000,-67.611241,-791,-60.659509,REDE_COMPLETA,0.022121,0.022121
Q - BASICOS CONSTRUCAO,28286.000000,24444.000000,389233.363750,369227.208000,6349,5808,-20006.155750,-5.139887,-3842.000000,-13.582691,-541,-8.521027,REDE_COMPLETA,0.011164,0.011164
D - ELETROS,91461.000000,28847.000000,56683110.506836,24759086.566069,31938,13908,-31924023.940768,-56.320170,-62614.000000,-68.459781,-18030,-56.453128,REDE_FISICA_SEM_LOJA93,31.041324,29.110843
C - PISOS E REVESTIMENTOS,551213.840000,227875.770000,37030589.759499,17613071.706475,29409,14512,-19417518.053024,-52.436427,-323338.070000,-58.659280,-14897,-50.654562,REDE_FISICA_SEM_LOJA93,18.880623,17.706425
"K - CAMA, MESA E BANHO",340644.000000,99585.000000,17333694.042854,5878588.134733,130334,54793,-11455105.908121,-66.085774,-241059.000000,-70.765667,-75541,-57.959550,REDE_FISICA_SEM_LOJA93,11.138372,10.445669
B - UTILIDADES DOMESTICAS,538868.000000,183002.000000,15560898.198090,6952915.785610,169679,69366,-8607982.412480,-55.318031,-355866.000000,-66.039550,-100313,-59.119278,REDE_FISICA_SEM_LOJA93,8.369972,7.849437
U - METAIS E ACESSORIOS,194971.000000,80047.000000,13972894.058080,6388502.660761,60623,31493,-7584391.397319,-54.279317,-114924.000000,-58.944151,-29130,-48.051070,REDE_FISICA_SEM_LOJA93,7.374683,6.916046
I - ILUMINACAO,339245.000000,217125.000000,16277789.099245,9043427.051150,74240,47223,-7234362.048095,-44.443149,-122120.000000,-35.997583,-27017,-36.391433,REDE_FISICA_SEM_LOJA93,7.034332,6.596862
O - MOVEIS,40517.000000,17851.000000,9871559.038250,3778427.014250,23089,11628,-6093132.024000,-61.724111,-22666.000000,-55.941950,-11461,-49.638356,REDE_FISICA_SEM_LOJA93,5.924657,5.556198
S - TINTAS E QUIMICOS,126417.000000,90005.000000,11418451.550886,7480979.697082,30042,13258,-3937471.853804,-34.483413,-36412.000000,-28.803088,-16784,-55.868451,REDE_FISICA_SEM_LOJA93,3.828601,3.590497
V - DECORACAO,77783.000000,26158.000000,5519973.379841,2387265.300000,32045,13312,-3132708.079841,-56.752232,-51625.000000,-66.370544,-18733,-58.458418,REDE_FISICA_SEM_LOJA93,3.046089,2.856650
W - LOUCAS E PIAS,9779.000000,3315.000000,3611369.156500,1121774.304000,6984,2581,-2489594.852500,-68.937700,-6464.000000,-66.100828,-4403,-63.044101,REDE_FISICA_SEM_LOJA93,2.420758,2.270209
M - MAQUINAS E MOTORES,2194.000000,437.000000,2917242.342000,706656.667500,1855,408,-2210585.674500,-75.776552,-1757.000000,-80.082042,-1447,-78.005391,REDE_FISICA_SEM_LOJA93,2.149463,2.015786
"G - PORTAS, JANELAS E FECHADURAS",24815.000000,7162.000000,3681818.620500,1561106.016750,10042,3438,-2120712.603750,-57.599595,-17653.000000,-71.138424,-6604,-65.763792,REDE_FISICA_SEM_LOJA93,2.062075,1.933833
F - FERRAMENTAS,10666.000000,4654.000000,4124379.265750,2982633.769500,6429,3150,-1141745.496250,-27.682844,-6012.000000,-56.366023,-3279,-51.003266,REDE_FISICA_SEM_LOJA93,1.110176,1.041134
E - MATERIAIS ELETRICOS,547022.000000,507597.000000,6190250.553250,5142147.769712,70373,53509,-1048102.783539,-16.931508,-39425.000000,-7.207206,-16864,-23.963736,REDE_FISICA_SEM_LOJA93,1.019123,0.955743
A - AUTOMOTIVO,13536.000000,10114.000000,862541.537000,474869.495250,4614,3485,-387672.041750,-44.945319,-3422.000000,-25.280733,-1129,-24.469007,REDE_FISICA_SEM_LOJA93,0.376953,0.353510
"L - INFANTIL, LAZER E PETS",8951.000000,2756.000000,584430.283500,243559.011500,5685,1967,-340871.272000,-58.325395,-6195.000000,-69.210144,-3718,-65.400176,REDE_FISICA_SEM_LOJA93,0.331446,0.310833
H - TUBOS E CONEXOES,12570.000000,6858.000000,342201.646500,157730.485500,4947,3034,-184471.161000,-53.907152,-5712.000000,-45.441527,-1913,-38.669901,REDE_FISICA_SEM_LOJA93,0.179371,0.168215
T - ARTIGOS DE EPOCA,8576.000000,3520.000000,193386.893517,27648.222500,1218,576,-165738.671017,-85.703156,-5056.000000,-58.955224,-642,-52.709360,REDE_FISICA_SEM_LOJA93,0.161156,0.151134
J - JARDINAGEM,3935.000000,837.000000,155045.513000,44251.200000,2487,556,-110794.313000,-71.459219,-3098.000000,-78.729352,-1931,-77.643747,REDE_FISICA_SEM_LOJA93,0.107731,0.101031
Y - EPI,4270.000000,1383.000000,62952.487500,23311.211000,1304,513,-39641.276500,-62.970151,-2887.000000,-67.611241,-791,-60.659509,REDE_FISICA_SEM_LOJA93,0.038545,0.036148
Q - BASICOS CONSTRUCAO,28286.000000,24444.000000,389233.363750,369227.208000,6349,5808,-20006.155750,-5.139887,-3842.000000,-13.582691,-541,-8.521027,REDE_FISICA_SEM_LOJA93,0.019453,0.018243
N - INDUSTRIAL E NEGOCIOS,11940.000000,3805.000000,2099409.224500,2082354.305500,5653,2452,-17054.919000,-0.812368,-8135.000000,-68.132328,-3201,-56.624801,REDE_FISICA_SEM_LOJA93,0.016583,0.015552
R - ELETRONICOS,3552.000000,6218.000000,7155970.875066,13976030.563950,1893,3305,6820059.688884,95.305861,2666.000000,75.056306,1412,74.590597,REDE_FISICA_SEM_LOJA93,-6.631485,0.000000
