COD_EMPRESA,CD_CIDADE,CD_ESTADO,TIPO_OPERACAO,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT,UNIVERSO,CONTRIBUICAO_VARIACAO_TOTAL_PCT,CONTRIBUICAO_QUEDA_BRUTA_PCT
93,ALHANDRA,PB,LOJA_93_ATACADO_B2B,75789.000000,21287.000000,114819760.094140,38461232.478996,18980,5903,-76358527.615144,-66.502950,-54502.000000,-71.912811,-13077,-68.898841,REDE_COMPLETA,42.610273,42.610273
3,SALVADOR,BA,REDE_FISICA,570695.020000,307437.690000,42114443.799036,20485548.555692,110625,52483,-21628895.243344,-51.357428,-263257.330000,-46.129250,-58142,-52.557740,REDE_COMPLETA,12.069551,12.069551
2,RECIFE,PE,REDE_FISICA,530902.730000,274780.510000,34744849.667341,18632241.969064,112820,55402,-16112607.698276,-46.374090,-256122.220000,-48.242777,-57418,-50.893459,REDE_COMPLETA,8.991302,8.991302
4,RECIFE,PE,REDE_FISICA,449320.390000,215068.840000,28683469.187663,14624763.768002,113912,54264,-14058705.419661,-49.013267,-234251.550000,-52.134636,-59648,-52.363228,REDE_COMPLETA,7.845165,7.845165
6,JOAO PESSOA,PB,REDE_FISICA,346013.380000,172498.550000,23061505.573457,11755296.303771,85307,41426,-11306209.269686,-49.026328,-173514.830000,-50.146856,-43881,-51.438921,REDE_COMPLETA,6.309193,6.309193
92,CABO DE SANTO AGOSTINHO,PE,REDE_FISICA,37237.150000,10580.800000,19916998.649881,8647886.029348,6539,2568,-11269112.620533,-56.580375,-26656.350000,-71.585366,-3971,-60.727940,REDE_COMPLETA,6.288492,6.288492
5,ARACAJU,SE,REDE_FISICA,233063.250000,113971.700000,15646156.099942,7883575.671618,63796,30493,-7762580.428323,-49.613339,-119091.550000,-51.098382,-33303,-52.202332,REDE_COMPLETA,4.331745,4.331745
7,NATAL,RN,REDE_FISICA,207039.380000,90430.160000,14367463.204469,7882963.997405,63541,30057,-6484499.207064,-45.133223,-116609.220000,-56.322242,-33484,-52.696684,REDE_COMPLETA,3.618539,3.618539
8,CARUARU,PE,REDE_FISICA,220329.340000,130536.150000,13377096.294940,7964223.044704,53484,27572,-5412873.250236,-40.463738,-89793.190000,-40.754078,-25912,-48.448134,REDE_COMPLETA,3.020540,3.020540
1,GARANHUNS,PE,REDE_FISICA,167680.240000,80726.520000,11692580.769704,6687632.667378,40325,20213,-5004948.102326,-42.804477,-86953.720000,-51.856868,-20112,-49.874768,REDE_COMPLETA,2.792906,2.792906
9,SALVADOR,BA,REDE_FISICA,228930.960000,157564.850000,12434628.149484,8631432.139808,60883,39797,-3803196.009677,-30.585523,-71366.110000,-31.173639,-21086,-34.633642,REDE_COMPLETA,2.122294,2.122294
3,SALVADOR,BA,REDE_FISICA,570695.020000,307437.690000,42114443.799036,20485548.555692,110625,52483,-21628895.243344,-51.357428,-263257.330000,-46.129250,-58142,-52.557740,REDE_FISICA_SEM_LOJA93,21.030856,21.030856
2,RECIFE,PE,REDE_FISICA,530902.730000,274780.510000,34744849.667341,18632241.969064,112820,55402,-16112607.698276,-46.374090,-256122.220000,-48.242777,-57418,-50.893459,REDE_FISICA_SEM_LOJA93,15.667094,15.667094
4,RECIFE,PE,REDE_FISICA,449320.390000,215068.840000,28683469.187663,14624763.768002,113912,54264,-14058705.419661,-49.013267,-234251.550000,-52.134636,-59648,-52.363228,REDE_FISICA_SEM_LOJA93,13.669982,13.669982
6,JOAO PESSOA,PB,REDE_FISICA,346013.380000,172498.550000,23061505.573457,11755296.303771,85307,41426,-11306209.269686,-49.026328,-173514.830000,-50.146856,-43881,-51.438921,REDE_FISICA_SEM_LOJA93,10.993592,10.993592
92,CABO DE SANTO AGOSTINHO,PE,REDE_FISICA,37237.150000,10580.800000,19916998.649881,8647886.029348,6539,2568,-11269112.620533,-56.580375,-26656.350000,-71.585366,-3971,-60.727940,REDE_FISICA_SEM_LOJA93,10.957522,10.957522
5,ARACAJU,SE,REDE_FISICA,233063.250000,113971.700000,15646156.099942,7883575.671618,63796,30493,-7762580.428323,-49.613339,-119091.550000,-51.098382,-33303,-52.202332,REDE_FISICA_SEM_LOJA93,7.547945,7.547945
7,NATAL,RN,REDE_FISICA,207039.380000,90430.160000,14367463.204469,7882963.997405,63541,30057,-6484499.207064,-45.133223,-116609.220000,-56.322242,-33484,-52.696684,REDE_FISICA_SEM_LOJA93,6.305203,6.305203
8,CARUARU,PE,REDE_FISICA,220329.340000,130536.150000,13377096.294940,7964223.044704,53484,27572,-5412873.250236,-40.463738,-89793.190000,-40.754078,-25912,-48.448134,REDE_FISICA_SEM_LOJA93,5.263207,5.263207
1,GARANHUNS,PE,REDE_FISICA,167680.240000,80726.520000,11692580.769704,6687632.667378,40325,20213,-5004948.102326,-42.804477,-86953.720000,-51.856868,-20112,-49.874768,REDE_FISICA_SEM_LOJA93,4.866561,4.866561
9,SALVADOR,BA,REDE_FISICA,228930.960000,157564.850000,12434628.149484,8631432.139808,60883,39797,-3803196.009677,-30.585523,-71366.110000,-31.173639,-21086,-34.633642,REDE_FISICA_SEM_LOJA93,3.698038,3.698038
