CD_ESTADO,CD_CIDADE,RECEITA,QTD_ARMAZENAGEM,TRANSACOES,SKUS_ATIVOS,LOJAS_ATIVAS,UNIVERSO,PRECO_MEDIO_ARMAZENAGEM,TICKET_MEDIO_TRANSACAO,PARTICIPACAO_RECEITA_PCT,PARTICIPACAO_QTD_PCT,QTD_ARMAZENAGEM_2024,QTD_ARMAZENAGEM_2025,RECEITA_2024,RECEITA_2025,TRANSACOES_2024,TRANSACOES_2025,DELTA_RECEITA_2025_VS_2024,VAR_RECEITA_2025_VS_2024_PCT,DELTA_QTD_ARMAZENAGEM_2025_VS_2024,VAR_QTD_ARMAZENAGEM_2025_VS_2024_PCT,DELTA_TRANSACOES_2025_VS_2024,VAR_TRANSACOES_2025_VS_2024_PCT
PB,ALHANDRA,153280992.573136,97076.000000,24883,327,1,REDE_COMPLETA,1578.979280,6160.068825,31.767045,2.091306,75789.000000,21287.000000,114819760.094140,38461232.478996,18980,5903,-76358527.615144,-66.502950,-54502.000000,-71.912811,-13077,-68.898841
PE,RECIFE,96685324.592070,1470072.470000,336398,2598,2,REDE_COMPLETA,65.769087,287.413494,20.037755,31.669740,980223.120000,489849.350000,63428318.855003,33257005.737067,226732,109666,-30171313.117937,-47.567575,-490373.770000,-50.026750,-117066,-51.631883
BA,SALVADOR,83666052.644020,1264628.520000,263788,2498,2,REDE_COMPLETA,66.158600,317.171564,17.339549,27.243865,799625.980000,465002.540000,54549071.948520,29116980.695500,171508,92280,-25432091.253020,-46.622409,-334623.440000,-41.847495,-79228,-46.194930
PB,JOAO PESSOA,34816801.877228,518511.930000,126733,2387,1,REDE_COMPLETA,67.147543,274.725619,7.215682,11.170291,346013.380000,172498.550000,23061505.573457,11755296.303771,85307,41426,-11306209.269686,-49.026328,-173514.830000,-50.146856,-43881,-51.438921
PE,CABO DE SANTO AGOSTINHO,28564884.679230,47817.950000,9107,465,1,REDE_COMPLETA,597.367404,3136.585558,5.919990,1.030141,37237.150000,10580.800000,19916998.649881,8647886.029348,6539,2568,-11269112.620533,-56.580375,-26656.350000,-71.585366,-3971,-60.727940
SE,ARACAJU,23529731.771560,347034.950000,94289,2187,1,REDE_COMPLETA,67.802196,249.549065,4.876469,7.476167,233063.250000,113971.700000,15646156.099942,7883575.671618,63796,30493,-7762580.428323,-49.613339,-119091.550000,-51.098382,-33303,-52.202332
RN,NATAL,22250427.201873,297469.540000,93598,2203,1,REDE_COMPLETA,74.799010,237.723319,4.611337,6.408380,207039.380000,90430.160000,14367463.204469,7882963.997405,63541,30057,-6484499.207064,-45.133223,-116609.220000,-56.322242,-33484,-52.696684
PE,CARUARU,21341319.339644,350865.490000,81056,2232,1,REDE_COMPLETA,60.824789,263.291050,4.422927,7.558688,220329.340000,130536.150000,13377096.294940,7964223.044704,53484,27572,-5412873.250236,-40.463738,-89793.190000,-40.754078,-25912,-48.448134
PE,GARANHUNS,18380213.437082,248406.760000,60538,2034,1,REDE_COMPLETA,73.992404,303.614481,3.809246,5.351422,167680.240000,80726.520000,11692580.769704,6687632.667378,40325,20213,-5004948.102326,-42.804477,-86953.720000,-51.856868,-20112,-49.874768
PE,RECIFE,96685324.592070,1470072.470000,336398,2598,2,REDE_FISICA_SEM_LOJA93,65.769087,287.413494,29.366682,32.346198,980223.120000,489849.350000,63428318.855003,33257005.737067,226732,109666,-30171313.117937,-47.567575,-490373.770000,-50.026750,-117066,-51.631883
BA,SALVADOR,83666052.644020,1264628.520000,263788,2498,2,REDE_FISICA_SEM_LOJA93,66.158600,317.171564,25.412278,27.825788,799625.980000,465002.540000,54549071.948520,29116980.695500,171508,92280,-25432091.253020,-46.622409,-334623.440000,-41.847495,-79228,-46.194930
PB,JOAO PESSOA,34816801.877228,518511.930000,126733,2387,1,REDE_FISICA_SEM_LOJA93,67.147543,274.725619,10.575069,11.408886,346013.380000,172498.550000,23061505.573457,11755296.303771,85307,41426,-11306209.269686,-49.026328,-173514.830000,-50.146856,-43881,-51.438921
PE,CABO DE SANTO AGOSTINHO,28564884.679230,47817.950000,9107,465,1,REDE_FISICA_SEM_LOJA93,597.367404,3136.585558,8.676145,1.052145,37237.150000,10580.800000,19916998.649881,8647886.029348,6539,2568,-11269112.620533,-56.580375,-26656.350000,-71.585366,-3971,-60.727940
SE,ARACAJU,23529731.771560,347034.950000,94289,2187,1,REDE_FISICA_SEM_LOJA93,67.802196,249.549065,7.146795,7.635856,233063.250000,113971.700000,15646156.099942,7883575.671618,63796,30493,-7762580.428323,-49.613339,-119091.550000,-51.098382,-33303,-52.202332
RN,NATAL,22250427.201873,297469.540000,93598,2203,1,REDE_FISICA_SEM_LOJA93,74.799010,237.723319,6.758225,6.545261,207039.380000,90430.160000,14367463.204469,7882963.997405,63541,30057,-6484499.207064,-45.133223,-116609.220000,-56.322242,-33484,-52.696684
PE,CARUARU,21341319.339644,350865.490000,81056,2232,1,REDE_FISICA_SEM_LOJA93,60.824789,263.291050,6.482098,7.720140,220329.340000,130536.150000,13377096.294940,7964223.044704,53484,27572,-5412873.250236,-40.463738,-89793.190000,-40.754078,-25912,-48.448134
PE,GARANHUNS,18380213.437082,248406.760000,60538,2034,1,REDE_FISICA_SEM_LOJA93,73.992404,303.614481,5.582708,5.465727,167680.240000,80726.520000,11692580.769704,6687632.667378,40325,20213,-5004948.102326,-42.804477,-86953.720000,-51.856868,-20112,-49.874768
